"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"75-LCC3-Acompañamiento+LIS3-Acompañamiento+LIC3-Acompañamiento","Obligatoria","Cálculo Integral","","CC(2016)-IS(2016)-IC(2013)","3","2.5","Acompañamiento","8","MEFI","María del Pilar","Rosado Ocaña","Coord. LM","8","8","8","","","","24","","","","","14:30 - 17:00","C3","","","","","","","","",""
"76-LA3-Acompañamiento","Obligatoria","Cálculo Multivariable","","A(2014)","3","2.5","Acompañamiento","9","MEFI","Lucía Belén","Gamboa Salazar","Coord. LM","","","","20","","","20","","","","","","","","","14:00 - 16:30","H3","","","","",""
"77-LA2-G2","Obligatoria","Cálculo Univariable","2","A(2014)","2","6","Regular","11","mefi","Heidy Cecilia","Escamilla Puc","Coord. LM","","","","43","","","43","09:00 - 10:30","H8","","","07:30 - 09:00","C10","09:30 - 11:00","H3","09:30 - 11:00","D2","","","","",""
"77-LA2-G3","Obligatoria","Cálculo Univariable","3","A(2014)","2","6","Regular","11","MEFI","Ángel Gabriel","Estrella González","Coord. LM","","","","43","","","43","09:00 - 10:30","D3","","","07:30 - 09:00","H8","09:30 - 11:00","H2","09:30 - 11:00","H4","","","","",""
"77-LA2-G1","Obligatoria","Cálculo Univariable","1","A(2014)","2","6","Regular","11","MEFI","Óscar Iván","Muñoz Carballo","Coord. LM","","","","43","","","43","09:00 - 10:30","H3","","","07:30 - 09:00","H3","09:30 - 11:00","H4","09:30 - 11:00","H2","","","","",""
"80-LCC4-G2+LIC4-G2","Obligatoria","Cálculo Vectorial","2","IC(2013)-CC(2016)","4","4.5","Regular","8","MEFI","Abraham Moisés","Canul Pech","Coord. LM","20","15","","","","","35","11:00 - 12:30","C2","12:00 - 13:30","C7","","","12:00 - 13:30","H4","","","","","","",""
"80-LCC4-G1+LIC4-G1","Obligatoria","Cálculo Vectorial","1","IC(2013)-CC(2016)","4","4.5","Regular","8","MEFI","Jorge Carlos","Lugo Jiménez","Coord. LM","20","15","","","","","35","11:00 - 12:30","C8","12:00 - 13:30","H8","","","12:00 - 13:30","H6","","","","","","",""
"80-LCC4-G3+LIC4-G3","Obligatoria","Cálculo Vectorial","3","IC(2013)-CC(2016)","4","4.5","Regular","8","MEFI","Felipe de Jesús","Rosado Vázquez","Coord. LM","20","15","","","","","35","11:00 - 12:30","D3","12:00 - 13:30","C8","","","12:00 - 13:30","D4","","","","","","",""
"83-LA1+LA1-Acompañamiento","Obligatoria","Introducción al Cálculo","","A(2014)","1","3","Regular/Acompañamiento","4","MEFI","Isabel","Tuyub Sánchez","Coord. LM","","","","40","","","40","","","","","","","12:00 - 13:30","D2","12:00 - 13:30","D4","","","","",""
"84-LA6-G2","Obligatoria","Métodos Numéricos","2","A(2014)","6","3","Regular","6","MEFI","Aarón Abraham","Aguayo González","Coord. LM","","","","27","","","27","17:00 - 18:30","CC4","","","","","","","13:00 - 14:30","CC3","","","","",""
